fl_iter,main_task_acc,mainmean,backdoor_acc,backmean,raw_task_acc,adv_norm_diff,wg_norm
1,3.888888888888889,3.888888888888889,0.0,0.0,0.0,0,26.298677444458008
2,3.888888888888889,3.888888888888889,0.0,0.0,0.0,0,26.29880714416504
3,3.888888888888889,3.888888888888889,0.0,0.0,0.0,0,26.29888343811035
